city,road_name,road_factor

Haldwani,Kathgodam Road,1.2
Haldwani,Nainital Road,1.6
Haldwani,Bareilly Road,1.4
Haldwani,Rampur Road,1.3
Haldwani,Kaladhungi Road,1.1
Haldwani,Ranibagh Road,1.0
Haldwani,Bhimtal Road,1.2

Gadarpur,Rudrapur Road,1.4
Gadarpur,Kashipur Road,1.3
Gadarpur,Dineshpur Road,0.8
Gadarpur,Gularbhoj Road,0.8

Rudrapur,Gadarpur Road,1.3
Rudrapur,Kashipur Road,1.4
Rudrapur,Kichha Road,1.2
Rudrapur,Bilaspur Road,1.1
Rudrapur,Sitarganj Road,1.3

Kashipur,Rampur Road,1.4
Kashipur,Bazpur Road,1.2
Kashipur,Rudrapur Road,1.4
Kashipur,Jaspur Road,1.0
Kashipur,Moradabad Road,1.5

Dehradun,Rajpur Road,1.6
Dehradun,Haridwar Road,1.7
Dehradun,Mussoorie Road,1.5
Dehradun,Saharanpur Road,1.4
Dehradun,Chakrata Road,1.1

Haridwar,Delhi Road,1.8
Haridwar,Rishikesh Road,1.6
Haridwar,Roorkee Road,1.5
Haridwar,Jwalapur Road,1.4

Rishikesh,Haridwar Road,1.5
Rishikesh,Badrinath Road,1.3
Rishikesh,Neelkanth Road,1.1
Rishikesh,Devprayag Road,1.0

Roorkee,Delhi Road,1.7
Roorkee,Haridwar Road,1.5
Roorkee,Dehradun Road,1.4

Almora,Haldwani Road,1.2
Almora,Ranikhet Road,1.0
Almora,Binsar Road,0.9

Nainital,Haldwani Road,1.5
Nainital,Bhowali Road,1.3
Nainital,Bhimtal Road,1.2

Pithoragarh,Tanakpur Road,1.2
Pithoragarh,Almora Road,1.1
Pithoragarh,Dharchula Road,0.9

Khatima,Tanakpur Road,1.3
Khatima,Sitarganj Road,1.2
Khatima,Banbasa Road,1.0

Delhi,Ring Road,2.0
Delhi,ITO Road,1.9
Delhi,NH-48,1.8
Delhi,DND Flyway,1.7
Delhi,Outer Ring Road,1.9
Delhi,MG Road,1.8

Gurgaon,MG Road,1.8
Gurgaon,Dwarka Expressway,1.7
Gurgaon,Sohna Road,1.6

Faridabad,Mathura Road,1.6

Noida,Noida Expressway,1.8
Noida,Greater Noida Expressway,1.7
Noida,DND Road,1.8

Lucknow,Shaheed Path,1.6
Lucknow,Kanpur Road,1.7
Lucknow,Sultanpur Road,1.4

Kanpur,NH-19,1.7

Agra,Yamuna Expressway,1.8
Agra,Delhi Road,1.6

Varanasi,NH-19,1.5

Mumbai,Western Express Highway,2.0
Mumbai,Eastern Express Highway,2.0
Mumbai,LBS Road,1.8
Mumbai,Sion Panvel Highway,1.7

Pune,Mumbai Pune Highway,1.8
Pune,Nagar Road,1.6

Nagpur,NH-44,1.5

Bengaluru,Outer Ring Road,2.0
Bengaluru,Bellary Road,1.7
Bengaluru,Hosur Road,1.8
Bengaluru,Mysore Road,1.6

Chennai,OMR Road,1.8
Chennai,Anna Salai,1.9
Chennai,East Coast Road,1.5

Coimbatore,Avinashi Road,1.5

Hyderabad,Outer Ring Road,1.8
Hyderabad,NH-44,1.7
Hyderabad,Hitech City Road,1.9

Kolkata,EM Bypass,1.8
Kolkata,VIP Road,1.7
Kolkata,Park Street,1.6

Ahmedabad,SG Highway,1.8
Ahmedabad,Sarkhej Gandhinagar Highway,1.7

Surat,Varachha Road,1.5

Jaipur,Ajmer Road,1.6
Jaipur,Tonk Road,1.5
Jaipur,Delhi Road,1.7

Amritsar,GT Road,1.6
Amritsar,Ranjit Avenue Road,1.3

Ludhiana,Ferozepur Road,1.5

Patna,Bailey Road,1.7
Patna,Ashiana Digha Road,1.5
Patna,NH-30,1.6

Bhubaneswar,Janpath Road,1.4
Bhubaneswar,Cuttack Road,1.6

Indore,Ring Road,1.7
Indore,Rau Road,1.5

Bhopal,Hoshangabad Road,1.6
